"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Balaena_mysticetus","Balaena_mysticetus",23,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.0439915315134674,-0.0439915315134674,0.0724635836916698,0.179813628336912,-0.0362291336150087,-0.048378627630042,-0.0483786276300417,0.143277762852763,-0.135932151620663,0.122967581441527,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0142909353158425,0.0138730035608754,0.0138730035608754,0.013873003560875,0.0138730035608754,0.0138730035608754,0.0138730035608754,0.0138730035608754,0.0138730035608754,NA,NA,NA,NA,NA,NA,0.160622716450561,-0.598757355777877,NA,NA,NA,NA,NA
"Balaenoptera_acutorostrata","Balaenoptera_acutorostrata",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0791812460476247,0.00753100341023893,0.00753100341023893,0.0236448478368723,0.0236448478368732,0.0236448478368727,0.0236448478368725,0.0236448478368729,0.0236448478368729,-0.0169591456509097,-0.0169591456509091,-0.0169591456509097,-0.0169591456509093,0.00102953157494756,0.00102953157494756,-0.000880728252224294,-0.000880728252224294,-0.000880728252224294,-0.000880728252224294,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balaenoptera_borealis","Balaenoptera_borealis",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.334053562297107,0.334053562297107,0.334053562297107,0.334053562297107,0.334053562297107,0.334053562297107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balaenoptera_musculus","Balaenoptera_musculus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,0.159040418239887,0.159040418239888,0.159040418239887,0.159040418239887,0.159040418239888,0.159040418239887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balaenoptera_physalus","Balaenoptera_physalus",6,1,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.000533578929841294,NA,NA,NA,0.255665372348332,0.255665372348332,0.255665372348332,0.255665372348332,0.255665372348332,0.255665372348332,0.255665372348332,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinapterus_leucas","Delphinapterus_leucas",22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00410598015806302,0.00410598015806299,0.00410598015806279,0.00410598015806302,0.004105980158063,-0.0110099662120994,-0.0110099662120992,-0.0110099662120994,-0.0110099662120993,-0.0110099662120993,-0.0102396660753211,-0.010239666075321,-0.0102396660753212,0.00320346417985561,0.00320346417985554,0.0032034641798557,0.00320346417985553,0.00320346417985553,0.00433634119279649,-0.00507329038474618,-0.00507329038474642,0.0279435712565245,0.0279435712565245,0.0279435712565245,0.00421253995611067,-0.0855272868991461,-0.0603349129728795,-0.0282343550292012,-0.0167801592913908,0.0177925123946513,0.0177925123946515,0.0177925123946513,0.026433526677168,0.0264335266771676
"Enhydra_lutris","Enhydra_lutris",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013867575244878,-0.0138675752448778,-0.013867575244878,-0.0381119413249057,-0.0381119413249056,-0.0381119413249058,-0.0381119413249058,-0.0381119413249056,-0.0381119413249058,-0.0381119413249058,-0.0381119413249056,-0.0381119413249058,-0.0381119413249057,-0.0381119413249057,-0.0453042830005041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erignathus_barbatus","Erignathus_barbatus",3,1,NA,NA,NA,NA,NA,0.0115078319547829,0.0115078319547828,0.0115078319547828,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547829,0.0115078319547828,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547829,0.0115078319547828,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,-0.00235436656332644,-0.00235436656332644,-0.00235436656332644,-0.00235436656332655,-0.00235436656332633,-0.00235436656332655,-0.00235436656332644,-0.00235436656332644,-0.00235436656332644,NA,NA
"Eschrichtius_robustus","Eschrichtius_robustus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34733001531695,0.217483944213906,0.237360915794604,NA,NA
"Globicephala_melas","Globicephala_melas",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.397940008672038,0.081651564221918,0.0816515642219179,0.081651564221918,0.0816515642219179,0.081651564221918,0.081651564221918,0.0816515642219179,0.081651564221918,-0.159040418239887,-0.159040418239887,-0.159040418239888,-0.159040418239887,-0.159040418239888,-0.159040418239887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyperoodon_ampullatus","Hyperoodon_ampullatus",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,0.25054017172283,-0.334053562297107,-0.334053562297107,-0.334053562297107,-0.334053562297107,-0.334053562297107,-0.334053562297107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Megaptera_novaeangliae","Megaptera_novaeangliae",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115233428100922,NA,NA,NA,-0.602059991327962,0.168416251914619,0.168416251914619,0.168416251914619,0.168416251914619,0.168416251914619,0.168416251914619,0.168416251914619,0.168416251914619,0.0415445133849184,0.0415445133849184,0.0415445133849182,0.0415445133849182,0.0415445133849186,0.0415445133849182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monodon_monoceros","Monodon_monoceros",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0074050441936544,0.0074050441936544,0.00740504419365395,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.00740504419365395,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odobenus_rosmarus","Odobenus_rosmarus",32,1,NA,NA,NA,NA,NA,NA,NA,-0.0157277004541554,-0.0157277004541552,-0.0157277004541552,-0.0157277004541554,-0.0157277004541552,-0.0157277004541552,-0.0157277004541554,-0.0157277004541552,-0.0157277004541554,-0.0157277004541552,-0.0157277004541554,-7.80893763658123e-05,-0.0157277004541552,-0.0157277004541552,-0.0157277004541554,-0.0157277004541549,-0.0157277004541554,-0.0157277004541552,-0.0157277004541552,-0.0157277004541554,-0.0157277004541552,0.0659741239910945,-0.101507419393945,-0.286096015474486,0.0707502534009196,0.0707502534009196,-0.0456987941848748,-0.796512653896014,0.629534100355853,0.130190722746966,0.0480759656001544,0.119877419578443,NA,0.130510998527074,NA,NA,NA
"Orcinus_orca","Orcinus_orca",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0.255218932248104,0.255218932248103,0.255218932248103,0.255218932248103,0.255218932248103,0.255218932248103,0.255218932248103,0.255218932248103,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagophilus_groenlandicus","Pagophilus_groenlandicus",5,1,NA,NA,NA,NA,NA,NA,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029124,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029169,0.00245088386029124,0.0530134727466294,0.0530134727466294,0.0530134727466289,0.0530134727466294,0.0530134727466289,0.0530134727466294,0.0530134727466289,0.0530134727466294,0.0530134727466289,-0.0283636116781452,-0.0283636116781452,-0.0283636116781452,-0.0283636116781447,-0.0283636116781456,-0.0283636116781447,-0.0283636116781452,-0.0283636116781452,-0.0283636116781452,0.102059991327963,0.102059991327962,NA,NA,NA
"Phocoena_phocoena","Phocoena_phocoena",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.271066772286538,0.0255149978319906,0.0255149978319906,0.0255149978319906,0.0255149978319906,0.0255149978319906,0.0255149978319906,0.0255149978319904,0.0255149978319906,-0.0945496475114584,-0.0945496475114582,-0.0945496475114584,-0.0945496475114584,-0.0945496475114584,-0.0945496475114584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Physeter_catodon","Physeter_catodon",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.698970004336019,0.0752574989159953,0.0752574989159953,0.0752574989159953,0.0752574989159953,0.0752574989159953,0.0752574989159954,0.0752574989159953,0.0752574989159953,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pusa_hispida","Pusa_hispida",35,1,NA,NA,NA,NA,NA,0.0459139686167362,0.0459139686167362,0.0459139686167364,0.0459139686167362,-0.127045759083241,0.0104797819464388,0.0104797819464388,-0.0675398172594108,-0.0675398172594107,-0.0840139027236201,0.109521671994248,0.013382226434985,0.0133822264349848,0.00311904859606201,0.0364085465405067,0.036938882841423,0.036938882841423,0.0369388828414231,-0.000632513342693652,-0.000632513342693578,-0.022847393373071,-0.0434497014041466,-0.0247475327499146,-0.0247475327499146,0.0315592027594505,0.00445593201681676,0.00445593201681675,-0.0836683899844727,0.0235562902866459,0.027005435951326,0.027005435951326,0.0270054359513259,-0.088196012596247,0.0549505743158723,0.0549505743158723,0.0276583888195794,0.0276583888195793,NA,NA
"Ursus_maritimus","Ursus_maritimus",112,1,NA,NA,0.115159716941181,0.105333948836309,0.0853445261150214,0.0591102872942924,0.0335863922322162,0.000861715642862526,-0.00360420900293534,-0.00519006597987448,-0.0074517988352889,0.0381799195151017,0.0361387811452099,0.00471522981905514,-0.0426401797801053,-0.00951954299864764,-0.000777024232788153,-0.00034783019599062,-0.0155744571417104,-0.0265758114479428,-0.0193232692998939,-0.00789593380383925,-0.00843850386523688,0.038132576362854,0.0471078550097773,-0.00728558979960825,0.040883151535767,0.0144127591321641,-0.00984580205583731,-0.0110323032803787,0.00568701076174632,0.0157362859707801,0.00972543673279797,-0.000981458636420804,0.000808694950802528,-0.0143435942968888,NA,NA,NA,NA,NA,NA,NA,NA
